"DEPARTAMENTO","PROVINCIA","UBIGEO","Esperanza_vida","Población","Urbano","P_agua_luz","Año_estud","P_alfabeta","P_asegurada","P_presu_usado","Nivel_pobreza","Indice_corr","Ing_fam"
" AYACUCHO","HUANTA","0504","76.63","89466","89.13","75.86","5.90","81.83","88.32","77.9","4","41.4","450.84"
" HUÁNUCO","HUANUCO","1001","76.22","293397","76.41","63.20","7.94","84.73","78.04","86.9","2","56.3","729.04"
" LIMA","HUARAL","1506","82.42","183898","25.76","86.49","8.24","90.47","74.22","59.3","1","54.5","1294.11"
" ÁNCASH","HUARAZ","0201","74.99","163936","96.93","84.47","8.82","87.12","80.31","59.7","1","62.7","806.26"
" ÁNCASH","HUARI","0210","77.05","58714","55.72","87.00","6.39","80.11","92.9","47.3","3","53.6","614.82"
" ÁNCASH","HUARMEY","0211","81.07","30560","46.77","77.07","8.31","90.47","75.55","67.1","1","49.1","838.13"
" LIMA","HUAROCHIRI","1507","72.76","58145","30.74","80.11","8.31","91.3","75.08","82.7","1","39.3","1071.66"
" LIMA","HUAURA","1508","78.71","227685","62.93","82.62","9.20","91.02","73.86","68.4","1","59.7","1306.11"
" ÁNCASH","HUAYLAS","0212","84.43","51334","37.57","84.72","5.27","79.76","87.68","57.3","2","44.3","546.83"
" HUANCAVELICA","HUAYTARA","0906","59.2","17247","54.21","57.33","6.17","83.64","87.73","72.9","3","22.7","380.12"
" ICA","ICA","1101","83.15","391519","56.48","87.98","10.45","92.24","70.78","60.2","1","56.2","998.54"
" MOQUEGUA","ILO","1803","80.75","74649","100","73.35","10.34","92.55","76.52","68.1","2","56.1","1077.41"
" AREQUIPA","ISLAY","0407","76.7","52034","30.92","88.25","9.13","91.37","70.16","65.3","1","50.3","1102.48"
" CAJAMARCA","JAEN","0608","77.14","185432","46.71","67.31","6.55","84.55","82.6","78.4","4","45.7","666.48"
" JUNÍN","JAUJA","1204","69.98","83257","37.55","84.96","8.12","88.5","73.53","80.8","2","40.4","747.78"
" TACNA","JORGE BASADRE","2303","74.29","10773","95.3","85.36","10.01","92.32","70.25","68.3","1","60.4","1406.56"
" LA LBERTAD","JULCAN","1305","70.4","28024","93.68","59.21","3.58","82.38","89.74","64","5","44.1","269.76"
" JUNÍN","JUNIN","1205","68.76","23133","92.62","76.84","7.16","84.98","76.97","78.5","3","49.2","555.29"
" CUSCO","LA CONVENCION","0809","78.08","147148","81.52","71.79","6.80","84.92","74.81","68.2","2","53.1","546.02"
" AYACUCHO","LA MAR","0505","82.24","70653","39.32","71.16","4.82","79.92","90.52","74.4","4","31.3","355.53"
" AREQUIPA","LA UNION","0408","93.11","12827","30.69","76.66","5.56","78.58","86.19","60.7","3","30.3","466.14"
" SAN MARTÍN","LAMAS","2205","71.76","81521","35.62","75.31","4.90","82.66","90.29","88.6","3","37.4","484.45"
" LAMBAYEQUE","LAMBAYEQUE","1403","74.73","300170","53.17","77.87","6.87","86.4","78.51","71.3","2","52.1","799.25"
" PUNO","LAMPA","2107","77.6","40856","63.49","47.19","6.59","85.27","76.06","74.9","4","43.5","493.84"
" HUÁNUCO","LAURICOCHA","1010","70.57","18913","75.08","51.48","6.97","87.61","91.25","84.2","3","37","555.49"
" HUÁNUCO","LEONCIO PRADO","1006","71.81","127793","32.41","57.23","7.34","85.96","76.8","73.1","2","37.5","723.65"
" LIMA","LIMA","1501","82.15","8574974","76.07","99.43","10.53","93.4","72.5","82.9","1","57.3","1483.89"
" LORETO","LORETO","1603","71.34","62437","79.32","36.52","5.53","78.07","88.65","80.8","4","48.3","473.67"
" AYACUCHO","LUCANAS","0506","63.4","51328","45.63","74.86","6.88","83.6","87.3","63.4","4","44.5","582.16"
" AMAZONAS","LUYA","0105","75.06","44436","76.5","86.80","4.85","81.81","90.05","76.5","4","33.3","452.95"
" MADRE DE DIOS","MANU","1702","76.32","18549","38.53","47.67","7.56","86.01","58.15","54.9","1","34.6","1019.62"
" HUÁNUCO","MARANON","1007","65.83","26622","28.45","51.34","4.75","79.21","89.35","79.5","3","38.1","398.68"
" SAN MARTÍN","MARISCAL CACERES","2206","72.53","64626","39.38","70.04","6.28","86.15","81.72","88.9","2","38.3","602.53"
" ÁNCASH","MARISCAL LUZURIAGA","0213","73.04","20284","78.44","66.50","4.57","71.59","95.83","65.3","5","39.5","261.91"
" MOQUEGUA","MARISCAL NIETO","1801","79.03","85349","84.79","79.48","10.04","90.61","79.43","67.5","1","61.2","1203.22"
" LORETO","MARISCAL RAMON CASTILLA","1604","65.57","49072","83","39.94","5.61","80.88","81.65","79","4","32.1","501.66"
" LORETO","MAYNAS","1601","72.5","479866","69.46","50.84","8.72","88.27","84.11","85.1","2","72.8","884.01"
" PUNO","MELGAR","2108","71.95","67138","51.94","64.08","6.87","85.5","79.98","68.5","4","43","518.50"
" PUNO","MOHO","2109","73.99","19753","62.24","78.90","5.05","80.64","77.35","81.4","4","36.2","196.87"
" PIURA","MORROPON","2004","73.23","162027","37.42","80.32","5.68","83.59","83.04","74.7","3","43.4","598.36"
" SAN MARTÍN","MOYOBAMBA","2201","74.78","122365","35.57","85.78","6.53","85.73","82.35","70.2","2","62.6","816.63"
" ICA","NAZCA","1103","84.25","69157","42.97","80.92","9.60","90.99","73.78","55.6","1","40.7","1011.95"
" ÁNCASH","OCROS","0214","80.6","7039","28.66","70.62","6.83","89.17","73.9","62.5","2","29.1","658.01"
" LA LBERTAD","OTUZCO","1306","74.77","77862","44.52","76.19","3.99","82.01","80.27","68.4","4","47.1","357.93"
" PASCO","OXAPAMPA","1903","67.3","87470","72.48","58.75","6.78","84.63","77.89","56.8","3","34.5","580.69"
" LIMA","OYON","1509","88.8","17739","51.43","90.33","7.97","88.73","74.19","78.6","2","39.8","1081.92"
" LA LBERTAD","PACASMAYO","1307","83.74","102897","59.85","89.11","8.05","89.16","79.17","79.4","2","39","934.60"
" HUÁNUCO","PACHITEA","1008","73.01","49159","71.54","49.99","2.96","73.42","87.73","68","4","35.2","346.29"
" UCAYALI","PADRE ABAD","2503","82.4","60107","66.79","68.31","6.06","84.31","72.15","55.1","1","44","589.19"
" PIURA","PAITA","2005","81.01","129892","74.81","84.94","7.32","88.2","73.62","66.9","2","48","680.30"
" ÁNCASH","PALLASCA","0215","63.07","23491","61.32","84.71","5.48","82.07","91.01","70.9","5","40.3","424.05"
" ICA","PALPA","1104","85.81","13232","27.73","82.69","8.91","89.38","78.11","60.1","1","31.8","914.79"
" AYACUCHO","PARINACOCHAS","0507","51.11","27659","41.18","81.92","7.24","83.43","88.89","87.4","2","45.1","615.58"
" CUSCO","PARURO","0810","59.06","25567","52.31","82.77","4.05","75.46","91.03","75.4","4","27.1","266.99"
" PASCO","PASCO","1901","75.01","123015","44.98","80.01","9.41","89.49","79.84","59.2","3","54.8","695.24"
" LA LBERTAD","PATAZ","1308","76.98","76103","43.74","71.67","5.33","80.26","78.17","68.1","4","42.6","668.49"
" AYACUCHO","PAUCAR DEL SARA SARA","0508","68.52","9609","73.66","89.19","7.63","85.49","90.61","83.5","2","24.7","569.81"
" CUSCO","PAUCARTAMBO","0811","57.16","42504","97.94","67.34","3.42","73.6","88.64","73.4","4","31","273.07"
" SAN MARTÍN","PICOTA","2207","80.43","40545","61.58","80.47","5.71","85.28","85.43","76.1","3","35.2","689.88"
" ICA","PISCO","1105","75.81","150744","59.22","89.53","9.39","90.74","70.61","62.7","1","41.6","903.40"
" PIURA","PIURA","2001","79.31","799321","76.28","79.47","8.56","87.97","73.59","68.6","2","65.8","813.28"
" ÁNCASH","POMABAMBA","0216","75.96","24794","33.22","80.20","4.84","71","95.75","64.2","4","39.6","392.12"
" HUÁNUCO","PUERTO INCA","1009","69.85","32538","42.38","33.59","5.53","83.74","71.92","76.4","2","26.9","597.45"
" PUNO","PUNO","2101","65.98","219494","68.59","49.21","9.11","87.71","67.81","77.4","2","60.9","714.95"
" UCAYALI","PURUS","2504","66.43","2860","75.23","20.02","7.27","73.91","91.43","81.9","3","32.4","517.76"
" LORETO","PUTUMAYO","1608","78.03","7780","60.71","14.98","5.89","81.98","91.54","96.8","4","43.2","703.62"
" CUSCO","QUISPICANCHI","0812","62.82","87430","45.87","80.18","5.11","78.4","84.18","85.5","4","42.6","425.35"
" ÁNCASH","RECUAY","0217","65.18","17185","47.84","73.07","6.79","84.88","85.89","76.5","2","41.3","569.33"
" LORETO","REQUENA","1605","77.36","58511","80.74","40.32","6.05","82.8","88.85","85.2","4","39.8","468.71"
" SAN MARTÍN","RIOJA","2208","75.24","122544","38.24","83.42","5.86","84.06","81.4","83.5","3","39.1","820.21"
" AMAZONAS","RODRIGUEZ DE MENDOZA","0106","70.56","29998","94.18","82.67","5.38","84.79","81.21","79.5","3","21.8","497.23"
" PUNO","SAN ANTONIO DE PUTINA","2110","54.92","36113","30.31","50.65","6.56","86.45","55.28","73.4","4","32.8","789.06"
" CAJAMARCA","SAN IGNACIO","0609","78.25","130620","79.31","74.73","4.96","81.85","87.13","77.4","5","42.4","415.44"
" CAJAMARCA","SAN MARCOS","0610","69.75","48103","67.86","80.90","4.20","78.1","89.83","91.8","5","42.9","474.80"
" SAN MARTÍN","SAN MARTIN","2209","73.49","193095","36.44","83.81","8.93","90.4","82.07","81.8","1","52","983.21"
" CAJAMARCA","SAN MIGUEL","0611","75.53","46043","83.28","70.90","4.87","83.04","90.64","83.8","5","32.8","507.27"
" CAJAMARCA","SAN PABLO","0612","63.48","21102","97.11","72.99","4.42","79.1","93.27","83","5","46.2","377.75"
" PUNO","SAN ROMAN","2111","68.9","307417","49.94","62.59","9.38","90.01","48.8","81.6","2","44.5","709.36"
" LA LBERTAD","SANCHEZ CARRION","1309","77.62","144405","52.38","64.22","3.72","75.36","87.79","48.9","5","41","429.31"
" PUNO","SANDIA","2112","73.15","50742","77.71","46.95","5.97","84.78","73.41","84.5","3","34.6","449.54"
" ÁNCASH","SANTA","0218","79.26","435807","50.56","83.92","9.11","90.81","73.7","56.2","1","57.2","862.36"
" CAJAMARCA","SANTA CRUZ","0613","69.16","37164","79.28","78.13","5.70","82.29","91.45","75.3","5","38.7","520.62"
" LA LBERTAD","SANTIAGO DE CHUCO","1310","77.75","50896","70.67","74.03","5.06","83.14","88.19","73.7","4","45.2","443.89"
" JUNÍN","SATIPO","1206","76.42","203985","72.89","50.55","6.40","83.34","75.08","73","3","47.8","473.41"
" PIURA","SECHURA","2008","68.95","79177","66.53","84.59","6.82","87.76","68.81","58","3","44.5","589.20"
" ÁNCASH","SIHUAS","0219","75.49","26971","34.66","83.25","5.13","76.67","95.76","62.8","5","31.7","308.40"
" AYACUCHO","SUCRE","0509","67.58","9445","46.84","81.22","6.36","81.77","94.6","57.7","4","21","505.52"
" PIURA","SULLANA","2006","78.92","311454","56.81","84.29","7.99","88.55","76.88","80.7","2","51.5","740.40"
" TACNA","TACNA","2301","78.32","306363","82.92","72.15","9.95","92.09","59.8","82.7","1","60.3","1005.76"
" MADRE DE DIOS","TAHUAMANU","1703","84.99","11047","18.87","74.18","8.10","88.55","73.33","72.2","1","23.7","1149.48"
" PIURA","TALARA","2007","74.47","144150","60.89","89.59","9.20","91.58","76.78","70.3","1","47.9","856.04"
" MADRE DE DIOS","TAMBOPATA","1701","71.43","111474","21.09","74.67","8.99","89.21","69.15","80.6","1","54.9","982.80"
" TACNA","TARATA","2304","82.84","6094","52.94","76.80","7.05","88.74","78.91","80.8","3","33","684.58"
" JUNÍN","TARMA","1207","75","89590","19.26","80.31","7.29","88.06","69.06","80.2","2","35.2","658.69"
" HUANCAVELICA","TAYACAJA","0907","67.81","81403","30.55","77.38","4.90","79.18","92.1","79.5","4","39.7","389.68"
" SAN MARTÍN","TOCACHE","2210","68.8","69394","92.32","71.58","6.74","85.98","76.39","45.7","2","38.4","817.25"
" LA LBERTAD","TRUJILLO","1301","79.82","970016","26.87","93.14","9.62","91.34","68.38","77.2","1","55.9","1047.30"
" TUMBES","TUMBES","2401","82.12","154962","95.01","80.50","9.01","90.18","85.99","74","1","59.8","915.27"
" LORETO","UCAYALI","1606","68.5","54637","26.04","49.79","6.52","84.81","84.11","90.4","4","56","567.52"
" CUSCO","URUBAMBA","0813","79.31","60739","25.82","88.90","7.68","85.12","72.09","75","2","36.8","689.06"
" AMAZONAS","UTCUBAMBA","0107","74.45","107237","36.03","73.65","5.64","83.15","86.69","73.9","3","57.6","776.48"
" AYACUCHO","VICTOR FAJARDO","0510","82.55","20109","26.75","85.81","5.33","78.24","94.27","65.9","5","25.6","440.37"
" AYACUCHO","VILCASHUAMAN","0511","68.52","16861","62.34","80.28","4.44","76.24","94.28","48.6","4","34.4","373.33"
" LA LBERTAD","VIRU","1312","76.34","92324","94.9","87.38","5.96","85.47","73.97","70.7","3","50.8","969.70"
" HUÁNUCO","YAROWILCA","1011","75.98","19897","91.47","48.84","4.37","78.09","94.86","72.7","4","36.7","283.04"
" JUNÍN","YAULI","1208","78.93","40390","67.13","77.39","9.62","92.92","74.79","65.6","1","36.3","975.62"
" LIMA","YAUYOS","1510","80.12","20463","50.01","81.16","7.76","90.75","76.02","79.8","2","37.4","734.26"
" ÁNCASH","YUNGAY","0220","74.44","50841","59.4","83.59","4.54","75.3","88.08","65.6","4","47.7","397.33"
" PUNO","YUNGUYO","2113","74.17","36939","15.03","82.39","5.38","79.6","58.79","79","4","33.9","376.32"
" TUMBES","ZARUMILLA","2403","73.66","48844","91.7","83.04","7.73","88.06","80.19","70.5","1","47.5","788.93"
