"Provincia","Red pública dentro de la vivienda","Red pública fuera de la vivienda, pero dentro de la edificación","Pilón o pileta de uso público","Camión - cisterna u otro similar","Pozo (agua subterránea)","Manantial o puquio","Río, acequia, lago, laguna","Otro","Vecino","Total","","","","","",""
" Puno, provincia: Huancané","31.32%","9.03%","12.74%","0.12%","41.70%","1.96%","1.92%","0.30%","0.91%","100.00%","","","","","",""
" Puno, provincia: Lampa","30.71%","6.38%","4.63%","0.10%","42.23%","6.35%","9.16%","0.21%","0.24%","100.00%","","","","","",""
" Puno, provincia: Melgar","49.39%","8.74%","7.63%","0.19%","21.45%","3.85%","7.80%","0.46%","0.49%","100.00%","","","","","",""
" Puno, provincia: Moho","51.83%","25.71%","6.45%","0.04%","12.42%","1.50%","1.29%","0.19%","0.56%","100.00%","","","","","",""
" Puno, provincia: Puno","49.84%","7.57%","6.45%","0.47%","30.22%","2.20%","2.27%","0.40%","0.60%","100.00%","","","","","",""
" Puno, provincia: San Antonio de Putina","26.39%","5.52%","7.71%","21.98%","22.61%","5.41%","5.89%","2.36%","2.14%","100.00%","","","","","",""
" Puno, provincia: San Román","53.58%","2.62%","2.78%","0.12%","40.17%","0.16%","0.18%","0.16%","0.24%","100.00%","","","","","",""
" Puno, provincia: Sandia","16.66%","13.53%","10.69%","0.06%","26.65%","13.06%","17.14%","1.79%","0.43%","100.00%","","","","","",""
" Puno, provincia: Yunguyo","47.60%","27.74%","7.55%","0.25%","12.26%","0.58%","1.82%","0.78%","1.42%","100.00%","","","","","",""
" San Martín, provincia: Bellavista","41.82%","11.71%","4.73%","0.60%","6.54%","1.09%","32.23%","0.34%","0.93%","100.00%","","","","","",""
" San Martín, provincia: El Dorado","59.69%","12.96%","6.70%","0.07%","3.76%","0.80%","15.24%","0.23%","0.56%","100.00%","","","","","",""
" San Martín, provincia: Huallaga","69.88%","5.47%","3.14%","0.04%","4.37%","0.48%","15.57%","0.63%","0.43%","100.00%","","","","","",""
" San Martín, provincia: Lamas","56.85%","11.90%","4.93%","0.09%","14.70%","1.15%","9.94%","0.27%","0.16%","100.00%","","","","","",""
" San Martín, provincia: Mariscal Cáceres","60.54%","10.10%","3.44%","0.25%","4.86%","0.80%","19.67%","0.18%","0.17%","100.00%","","","","","",""
" San Martín, provincia: Moyobamba","69.89%","11.90%","2.87%","0.04%","8.54%","1.04%","4.94%","0.58%","0.19%","100.00%","","","","","",""
" San Martín, provincia: Picota","57.42%","12.31%","7.86%","0.72%","8.35%","0.96%","12.01%","0.26%","0.12%","100.00%","","","","","",""
" San Martín, provincia: Rioja","71.51%","12.26%","3.36%","0.06%","7.91%","0.39%","3.91%","0.31%","0.29%","100.00%","","","","","",""
" San Martín, provincia: San Martín","80.74%","7.34%","3.02%","0.47%","3.61%","0.54%","3.84%","0.18%","0.27%","100.00%","","","","","",""
" San Martín, provincia: Tocache","52.87%","10.28%","4.18%","0.08%","20.69%","0.59%","10.47%","0.64%","0.20%","100.00%","","","","","",""
" Tacna, provincia: Candarave","45.21%","1.66%","0.79%","-","30.96%","10.94%","10.28%","0.04%","0.12%","100.00%","","","","","",""
" Tacna, provincia: Jorge Basadre","79.84%","3.03%","4.73%","6.36%","2.22%","0.16%","3.49%","0.13%","0.03%","100.00%","","","","","",""
" Tacna, provincia: Tacna","73.83%","4.06%","14.61%","3.87%","2.79%","0.06%","0.51%","0.11%","0.16%","100.00%","","","","","",""
